album,title,artists,composers,time,date
Collecting Sounds Around The World,Mandalay,Max Ll,Max Ll,10:15pm,2016-05-12
Multi-Love (Single),Multi-Love,Unknown Mortal Orchestra,Ruban Nielson,10:19pm,2016-05-12
My Father Was A Sailor,Into The Blue Sea,North Atlantic Explorers,Glenn D'cruze,10:23pm,2016-05-12
Dream Magic,Song Of The Piano Man,Alana Yorke,"Alana Yorke, Lisa Lipton",10:26pm,2016-05-12
After The Glow (Single),After The Glow,Jesse Mac Cormack,Jesse Mac Cormack,10:30pm,2016-05-12
Grasscut: Unearth,Blink In The Night,Grasscut,Andrew (Chant/ Comp) Phillips,10:34pm,2016-05-12
Patience,The Wolf,Georgian Bay,"Joelle Westman, Kelly Lefaive",10:40pm,2016-05-12
Seraph,Sick,Mas Ysa,Mas Ysa,10:43pm,2016-05-12
Repave,Tiderays,Volcano Choir,"Thomas Wincek, Justin Vernon, Daniel Spack, Chris Rosenau, Matthew Skemp, Jon Mueller",10:47pm,2016-05-12
Sleeping Operator,How The Heroine Dies,The Barr Brothers,"Brad Barr, Andrew Barr, Sarah Page",10:52pm,2016-05-12
Champion: Best Seller,Impatient,Dj Champion,Dj Champion,10:56pm,2016-05-12
King Of Leaves (Single),King Of Leaves,Richard Walters,Richard Walters,11:05pm,2016-05-12
Lily Flower (Single),Lily Flower,Genevieve Artadi,Genevieve Artadi,11:10pm,2016-05-12
Carrie & Lowell,Blue Bucket Of Gold,Sufjan Stevens,Sufjan Stevens,11:13pm,2016-05-12
Smilewound,Whistle,"Mum, Kylie Minogue, Runar Hlodversson","Orvar Poreyjarson Smarason, Gyda Valtysdottir, Sigurlaug Gisladottir, Hildur Gudnadottir, Gunnar Tynes, Samuli Kosminen",11:18pm,2016-05-12
The Ace (Single),The Ace,Artisan Loyalist,"Paul Fuellbrandt, Nathan Marshall, Jordan Yeo, Rob Batke",11:24pm,2016-05-12
Club Meds,Pretty Good Joke,Dan Mangan + Blacksmith,Dan Mangan,11:30pm,2016-05-12
Chambers,Switchcraft,"Gonzales, Kaiser Quartett",Gonzales,11:35pm,2016-05-12
Vieux Loup,Influence,The Acorn,Rolf Klausener,11:40pm,2016-05-12
Pull My Hair Back,Strange Emotion,Jessy Lanza,"Jessy Lanza, Jeremy Greenspan",11:45pm,2016-05-12
The Forgettable Truth,Clackity Clack,Michael Feuerstack,Michael Feuerstack,11:50pm,2016-05-12
Marie-Pierre Arthur: Si L'aurore,Le Silence,Pierre Arthur Marie,"Francois Lafontaine,Pierre  Marie Arthur,Gaele",11:53pm,2016-05-12
Music For Objects,Camera,Cfcf,Cfcf,11:58pm,2016-05-12
A Moon Shaped Pool,Desert Island Disk,Radiohead,"Jonny Greenwood, Colin Greenwood, Ed O'brien, Phil Selway, Thom Yorke",10:04pm,2016-05-13
Kintsugi,Ingenue,Death Cab For Cutie,"Christopher Walla, Jason Mcgerr, Ben Gibbard, Nicholas Harmer",10:07pm,2016-05-13
Christine And The Queens: Chaleur Humaine,Christine,Christine And The Queens,Christine And The Queens,10:13pm,2016-05-13
The Sound Of My Name,The Sound Of My Name,Duplekita,Tim Batke,10:17pm,2016-05-13
You Say Party,Underside,You Say Party,"Becky Ninkovic, Stephen O'shea, Derek Adam, Krista Loewen",10:23pm,2016-05-13
Drops (Single),Drops,Jungle,"Josh Watson Lloyd, Tom Mcfarland",10:30pm,2016-05-13
Monster,Better & Better,Andrew Judah,Andrew Judah,10:33pm,2016-05-13
Moodoid: Le Monde Moo,La Lune,Moodoid,Pablo Padovani,10:36pm,2016-05-13
Metals,The Bad In Each Other,Feist,Feist,10:43pm,2016-05-13
The Take Off And Landing Of Everything,The Blanket Of Night,Elbow,"Guy Garvey, Richard Jupp, Mark Potter, Pete Turner, Craig Potter",10:47pm,2016-05-13
Quiet Industry,When That Far Shore Disappears,The Henrys,Don Rooke,10:52pm,2016-05-13
Between Heaviness & Here,Twice,Rich Brown,Little Dragon,10:56pm,2016-05-13
Gulag Orkestar,After The Curtain,Beirut,Zach Condon,11:03pm,2016-05-13
Fruit Trees (Single),Fruit Trees,Matthew E. White,Matthew E. White,11:07pm,2016-05-13
Repeat Repeat,Good Fortune,Kate Rogers Band,Kate Rogers,11:12pm,2016-05-13
Like What Ep,Too Long,Tennyson,Luke Tennyson,11:15pm,2016-05-13
The Weight Of Spring,Lantern,The White Birch,Ola Flottum,11:18pm,2016-05-13
Pierre Kwenders: Popolipo (The Remixes)  Ep,Popolipo (Feat. Sjamsoedin),"Pierre Kwenders, Sjamsoedin","Pierre Kwenders,Samito",11:24pm,2016-05-13
Ocean Death,Orator,Baths,Baths,11:31pm,2016-05-13
Psychic Materials,This War Is More Than Us,Casey Mecija,Casey Mecija,11:35pm,2016-05-13
Follow Your Stupid Heart (Single),Follow Your Stupid Heart,Blocktreat,Blocktreat,11:39pm,2016-05-13
The Nines,Day Of Delights,Our Founders,Mike Olsen,11:44pm,2016-05-13
...Caruso's Brain...,When The City Fell,Selina Martin,Selina Martin,11:48pm,2016-05-13
"Asunder, Sweet And Other Distress",Lamb's Breath,Godspeed You! Black Emperor,Godspeed You! Black Emperor,11:50pm,2016-05-13
Lincoln Center Jazz Orch/Marsalis: Live In...,C Jam Blues,Lincoln Center Jazz Orch,Duke Ellington,10:01pm,2016-05-14
Complete Birth Of The Cool,Jeru,Miles Davis,Bill Barber,10:04pm,2016-05-14
Mel Torme: Swings Shubert Alley,Too Close For Comfort,Mel Torme,,10:08pm,2016-05-14
Weather Permitting,Harrisville,Kevin Dean,Kevin Dean,10:12pm,2016-05-14
Violinspiration,Lover Man (Oh Where Can You Be),Stephane Grappelli,"Jimmy Sherman, Jimmy Davis, Roger 'Ram' Ramirez",10:18pm,2016-05-14
"One Take, Vol. 4",Not That,"Phil Dwyer, Joey Defrancesco",Joey Defrancesco,10:21pm,2016-05-14
Molly Johnson: Messin' Around,If You Know Love,Molly Johnson,"Molly Johnson, Steve Mackinnon",10:30pm,2016-05-14
Dexter Gordon: Go!,Where Are You?,Dexter Gordon,Billy Higgins,10:34pm,2016-05-14
We Get Requests,Girl From Ipanema,Oscar Peterson,Oscar Peterson Trio,10:40pm,2016-05-14
Deep In A Dream,What Good Would The Moon Be?,Pat Labarbera,Joe Labarbera,10:44pm,2016-05-14
Peter Appleyard: Sophisticated Ladies,If You Could See Me Now,"Peter Appleyard, Sophie Milman","Tadd Dameron, Carl Sigman",10:50pm,2016-05-14
Changing Partners,Freddie Freeloader,Guido Basso,Miles Davis,10:55pm,2016-05-14
"The Peak Performance Project, 2013 Top 20",Shadowless,Hannah Epperson,Hannah Epperson,11:06pm,2016-05-14
Love Songs For Robots,Hearts,Patrick Watson,"Patrick Watson, Mishka Stein, Robbie Kuster, Joe Grass",11:10pm,2016-05-14
A Moon Shaped Pool,Glass Eyes,Radiohead,"Jonny Greenwood, Colin Greenwood, Ed O'brien, Phil Selway, Thom Yorke",11:16pm,2016-05-14
Idols In The Dark Heart,Amsterdam,Valery Gore,Valery Gore,11:18pm,2016-05-14
Act One,The Gospel According To The Purple Cotton Dress,C. R Avery,C.R. Avery,11:23pm,2016-05-14
Aquilo Ep,Part Of Your Life,Aquilo,"Ben Fletcher, Tom Higham",11:26pm,2016-05-14
Pick Me Up,Hold Me Down,Mansionair,"Alex Nichols, Jack Froggat, Lachlan Bostock",11:31pm,2016-05-14
22H22,Retourner En Moi,Ariane Moffatt,Ariane Moffatt,11:37pm,2016-05-14
From The Ground,Maria,"Shook Fool, Peter Oundjian",Peter Oundjian,11:41pm,2016-05-14
Armour,Armour,Rae Spoon,Rae Spoon,11:45pm,2016-05-14
The Ship,Fickle Sun: The Hour Is Thin,Brian Eno,Brian Eno,11:50pm,2016-05-14
Lisbonne Telegramme: Miroir D'automne,Miroirs D'automne,Lisbonne Telegramme,"Maritza, Francois (Can) Dufault, Martin Farmer, Eric Rathe",11:53pm,2016-05-14
"A Person Disguised As People: Forest City Series, Vol. 1",In Motion,Oblq,Oblq,11:58pm,2016-05-14
Arc,Choice Mountain,Everything Everything,"Jonathan Higgs, Alex Robertshaw, Michael Spearman, Jeremy Pritchard",10:04pm,2016-05-16
This Is All Yours,"Bloodflood, Pt. Ii",J Alt,"Joe Newman, Thom Green, Gus Hamilton Unger",10:07pm,2016-05-16
Hopelessness,Why Did You Separate Me From The Earth?,Anohni,"Anohni, Hudson Mohawke",10:13pm,2016-05-16
Knife In The Water (Single),Knife In The Water,Memoryhouse,"Evan Abeele, Denise Nouvion",10:16pm,2016-05-16
Howling (Single),Howling,Ry X,Ry X,10:21pm,2016-05-16
Lurid Glow,Amanda,Reptar,"William Kennedy, Graham Ulicny, Andrew Mcfarland, Ryan Engelberger",10:26pm,2016-05-16
Reminisce,Island,Etiquette,"Julie Fader, Graham Walsh",10:31pm,2016-05-16
Wild Ones,Time,Peirson,Peirson Ross,10:36pm,2016-05-16
Excerpts,Before Night,Ensemble,Olivier Alary,10:42pm,2016-05-16
Falling Through,Fortress,Mune,"Eytan Tobin, Stephen Cooper, Brandon Johns, Greg O'toole, Felix Mills, Amanda Barroso",10:47pm,2016-05-16
Isador,2,Isador,"Charles Austin, Joshua Van Tassel, Kyle Cunjak",10:52pm,2016-05-16
We Are The Reckoning,We Are The Reckoning,Peter Katz,"Justin Glasco, Peter Katz",10:55pm,2016-05-16
Ask Me This,Reconstruct My Love,Alcoholic Faith Mission,"Thorben Jensen, Sune Solund, Morten Hyldahl, Anders Hjort, Gustav Rasmussen, Kristine Permild",11:03pm,2016-05-16
Change Is Everything (Single),Change Is Everything,Son Lux,Son Lux,11:08pm,2016-05-16
Mama Says (Single),Mama Says,Ibeyi,"Kainde  Lisa Diaz, Naomi Diaz",11:11pm,2016-05-16
Anchor,Henry Lee,Zammuto,Traditional,11:16pm,2016-05-16
Quiet Energies,Connect The Lines,Evening Hymns,Jonas Bonnetta,11:20pm,2016-05-16
Club Meds,Forgetery,Dan Mangan + Blacksmith,Dan Mangan,11:25pm,2016-05-16
Caveman,Strange To Suffer,Caveman,"Sam Hopkins, Matthew Iwanusa, Stefan Marolachakis, James Carbonetti, Jeff Berrall",11:29pm,2016-05-16
Falsework,Must Be Love,Young Galaxy,"Dan Lissvik, Stephen Ramsay, Catherine Mccandless",11:31pm,2016-05-16
The Air Conditioned Nightmare,Video Hostage,Doldrums,Airick Woodhead,11:36pm,2016-05-16
"A Person Disguised As People: Forest City Series, Vol. 2",Artlab 5,Phaneuf Ian Doig,Ian Phaneuf Doig,11:41pm,2016-05-16
Emilie & Ogden: Ten Thousand,Ten Thousand,Emilie & Ogden,Emilie & Ogden,11:46pm,2016-05-16
Willow (Single),Willow,Forestier,"Joel Williams, Esther Kenter, Asher Jesionka, Jonathan Jesionka",11:50pm,2016-05-16
Hero Brother,Breathing Black Ground,Sarah Neufeld,Sarah Neufeld,11:55pm,2016-05-16
Tell Me I'm Pretty,Trouble,Cage The Elephant,"Brad Shultz, Daniel Tichenor, Matthew Shultz, Lincoln Parish, Jared Champion",9:59pm,2016-05-16
Burn The Witch (Single),Burn The Witch,Radiohead,Thom Yorke,10:04pm,2016-05-17
From Gold (Single),From Gold,Novo Amor,Ali Lacey,10:08pm,2016-05-17
Play It On My Radio (Single),Play It On My Radio,Niki & The Dove,"Malin Dahlstrom, Magnus Boqvist, Gustaf Karlof",10:12pm,2016-05-17
Monster,Morning Light,Andrew Judah,Andrew Judah,10:16pm,2016-05-17
Wonder (Single),Wonder,Gungor,"Lisa Gungor, Michael Gungor",10:21pm,2016-05-17
Blood Knowledge (Single),Blood Knowledge,Wild Beasts,"Tom Fleming, Chris Talbot, Ben Little, Hayden Thorpe",10:25pm,2016-05-17
Companion Ep,Companion,Braids,"Raphaelle Preston Standell, Austin Tufts, Taylor Smith",10:30pm,2016-05-17
Other Rivers,Into Gold,Matthew And The Atlas,Matthew Hegarty,10:34pm,2016-05-17
Talk To Strangers,The Machine,Fiona Bevan,Fiona Bevan,10:40pm,2016-05-17
Horizontal Lines,Tunnel To The Reservoir,Twin Within,"Alex Samaras, Steve Mckay",10:43pm,2016-05-17
The Apostate,Atheist Prayer,Art Bergmann,Art Bergmann,10:48pm,2016-05-17
Deadmau5: While(1<2),Creep,Deadmau5,Deadmau5,10:53pm,2016-05-17
The Cat With The Cream (Single),The Cat With The Cream,Belle & Sebastian,"Sarah Martin, Stevie Jackson, Bobby Kildea, Richard Colburn, Stuart Murdoch, Chris Geddes",11:04pm,2016-05-17
Weeping Mary (Single),Weeping Mary,Sam Amidon,Sam Amidon,11:10pm,2016-05-17
Work (Single),Work,Charlotte Day Wilson,Charlotte Day Wilson,11:13pm,2016-05-17
Chasing Memories,Wings,Postmoderndisco,Postmoderndisco,11:17pm,2016-05-17
When The Time Is Right,Waves,River Tiber,"Kwikfiks,River Tiber",11:22pm,2016-05-17
Instinct (Single),Instinct,These Brittle Bones,These Brittle Bones,11:28pm,2016-05-17
Not For Nothing,Pretty As A Picture,"Soso, Maki",Soso,11:33pm,2016-05-17
The Savage Bush Hotel (Single),The Savage Bush Hotel,Felix Laband,Felix Laband,11:37pm,2016-05-17
A Heart Beats Through It (Single),A Heart Beats Through It,Our Founders,Michael Olsen,11:44pm,2016-05-17
Padre,Ayer Y Hoy,"Isis Giraldo's Poetry Project, Simon Millerd, Mike Bjella, Jane Chan, Ben Dwyer, Isis Giraldo, Kai Basanta, Felicity Williams, Thom Gill, Ghislain Aucoin, Ryan Brower, Robin Dann, Hans Bernhard","Ruben Dario Giraldo, Isis Giraldo",11:48pm,2016-05-17
So I Love You As You Are,Like A Song,Jesse Maranger,Jesse Maranger,11:53pm,2016-05-17
Flesh And Machine,Tamboura Jah,"Daniel Lanois, Alex Krispin",Daniel Lanois,11:58pm,2016-05-17
Javelin,Baby Moses,Jordan Klassen,Jordan Klassen,10:03pm,2016-05-18
The Bells (Radio Edit) (Single),The Bells,Lowell,"Paul Herman,Lowell, Justin Broad",10:07pm,2016-05-18
The Colour In Anything,Radio Silence,"James Blake, Rick Rubin",James Blake,10:11pm,2016-05-18
Young Hymns,Young Hymns,Gala,Aley Waterman,10:15pm,2016-05-18
Love Songs For Robots,Places You Will Go,Patrick Watson,Patrick Watson,10:20pm,2016-05-18
Loyalty,Tapes,The Weather Station,Tamara Lindeman,10:24pm,2016-05-18
Someone Will Notice (Single),Someone Will Notice,Little Scream,Little Scream,10:30pm,2016-05-18
Pigeons (Single),Pigeons,Maps & Atlases,Dave Davison,10:35pm,2016-05-18
Vestiges & Claws,"Stories We Build, Stories We Tell",Jose Gonzalez,Jose Gonzalez,10:39pm,2016-05-18
Fontarabie,Blastula,Fontarabie,"Julien Mineau, Virginie Parr",10:42pm,2016-05-18
Person A,Lullaby,Edward Sharpe And The Magnetic Zeros,"Alex Ebert, Mitchell Yoshida",10:45pm,2016-05-18
Treading Water (Single),Treading Water,Newton Faulkner,Newton Faulkner,10:50pm,2016-05-18
The Runcible,Less Talk More Magic,Dirty Inputs,Dirty Inputs,10:54pm,2016-05-18
Has Been,Together,William Shatner,"William Shatner, Elizabeth Shatner,Lemon Jelly",11:00pm,2016-05-18
Yo La Tengo: Fade,Before We Run,Yo La Tengo,"Georgia Hubley, Ira Kaplan, James Mcnew",11:05pm,2016-05-18
You Of All Things,As I Wait For The Lion,Jodie Landau,Jodie Landau,11:12pm,2016-05-18
Wed 21,De Algun Instinto Animal,Juana Molina,Juana Molina,11:18pm,2016-05-18
Repave,Keel,Volcano Choir,"Thomas Wincek, Justin Vernon, Daniel Spack, Chris Rosenau, Matthew Skemp, Jon Mueller",11:23pm,2016-05-18
Sparks,You Know Where To Find Me,Imogen Heap,Imogen Heap,11:28pm,2016-05-18
Folders (Single),Folders,"Ryan Playground, Ryan Hemsworth",Ryan Playground,11:33pm,2016-05-18
Monogrenade: Composite,J'attends,Monogrenade,Michel  Jean Pigeon,11:36pm,2016-05-18
"Lizee, Nicole: This Will Not Be Televised","Girl, You're Living The Life Of Crime",Nicole Lizee,Nicole Lizee,11:40pm,2016-05-18
Ghosts Of Jazz,Believe With Your Eyes,Skim Milk,Skim Milk,11:44pm,2016-05-18
Armour,Trying Again At Everything,Rae Spoon,Rae Spoon,11:49pm,2016-05-18
And I'll Scratch Yours,Don't Give Up,"Feist, Timber Timbre",Peter Gabriel,11:52pm,2016-05-18
O Frontera Ep,Interlude,O Frontera,"Sebastian Cushing, Shawn Dakin, Sarah Riegler, Emily Wang",11:58pm,2016-05-18
Modern Thought,Nails,Fitness Club Fiasco,Mike Harloff,10:07pm,2016-05-19
The Take Off And Landing Of Everything,My Sad Captains,Elbow,"Guy Garvey, Richard Jupp, Mark Potter, Pete Turner, Craig Potter",10:12pm,2016-05-19
String Quartet Live!,Manchester,"Kishi Bashi, Kishi Bashi String Quartet",Kishi Bashi,10:18pm,2016-05-19
The Wolf (Single),The Wolf,Chersea,Chersea,10:23pm,2016-05-19
Theatrics,Chair,Puzzle Muteson,Puzzle Muteson,10:27pm,2016-05-19
A History Of Reasons,A History Of Reasons,Cairo,"Matt Sullivan, Nate Daniels, Nygel Asselin, Jr  Dante Berardi, Caitlin Grieve",10:32pm,2016-05-19
Hearts And Galaxies,Let Wonder In,Christine Bougie,Christine Bougie,10:35pm,2016-05-19
A Moon Shaped Pool,Daydreaming,Radiohead,"Jonny Greenwood, Colin Greenwood, Ed O'brien, Phil Selway, Thom Yorke",10:40pm,2016-05-19
Karkwa: Les Chemins De Verre,Les Enfants De Beyrouth,Karkwa,Jean  Louis Cormier,10:46pm,2016-05-19
Foreign Life,Clarity,Pony Girl,"Pascal Huot, Julien Dussault, Michel Cousineau, Jeff Kingsbury, Greggory Clark, Yolande Laroche",10:51pm,2016-05-19
Into The Trees,Flying & Flocking,Zoe Keating,Zoe Keating,10:56pm,2016-05-19
Ile De Sept Villes,Soixante-Sept,Hylozoists,,11:06pm,2016-05-19
Some Kind Of Champion,Trains,Sara Lov,"Dustin O'halloran, Sara Lov",11:11pm,2016-05-19
How To Dress Well: Total Loss,Ocean Floor For Everything,How To Dress Well,How To Dress Well,11:16pm,2016-05-19
The Devil's Walk,Your House Is My World,Apparat,Apparat,11:19pm,2016-05-19
Marilyn Monroe (Single),Marilyn Monroe,Sevdaliza,"Sevdaliza, Joel Dieleman,Mucky",11:23pm,2016-05-19
"Les Inrockuptibles: Un Printemps 2016, Vol 1",Ether,Mogwai,Mogwai,11:28pm,2016-05-19
Going Places,I Have Sound,Montag,Antoine Bedard,11:33pm,2016-05-19
One Colour More,Papusza And The Crows,Wendy Mcneill,Wendy Mcneill,11:37pm,2016-05-19
Yann Perreau: Le Fantastique Des Astres,Mon Amour Est Un Loup,Yann Perreau,"Tante Blanche, Yann Perreau",11:43pm,2016-05-19
Another Eternity,Stillness In Woe,Purity Ring,"Corin Roddick, Megan James",11:47pm,2016-05-19
Pandaleon: Atone,Amiante,Pandaleon,Pandaleon,11:51pm,2016-05-19
Hunt + Chase,Say My Name,Megan Bonnell,Megan Bonnell,11:56pm,2016-05-19
The Getaway,Dark Necessities,Red Hot Chili Peppers,"Anthony Kiedis, Josh Klinghoffer, Brian Burton, Chad Smith",10:00pm,2016-05-20
Brother (Single),Brother,Hannah Epperson,Hannah Epperson,10:00pm,2016-05-20
Your Heart (Single),Your Heart,Liima,"Mads Brauer, Tatu Ronkko, Rasmus Stolberg, Casper Clausen",10:03pm,2016-05-20
White Morning (Single),White Morning,Seoul,"Julian Flavin, Nigel Ward, Dexter Garcia, Blouin Artifino, Ryan White",10:07pm,2016-05-20
To Trip With Terpsichore,"Animal, Master",Hilotrons,Mike Dubue,10:12pm,2016-05-20
This Is All Yours,Hunger Of The Pine,J Alt,"Pharrell Williams, Gus Hamilton Unger, Miley Cyrus,Nelly",10:15pm,2016-05-20
Anchor,Your Time,Zammuto,Nick Zammuto,10:21pm,2016-05-20
Are You Alone?,If You're Lonely,Majical Cloudz,"Devon Welsh, Matthew Otto",10:24pm,2016-05-20
Push The Sky Away,Wide Lovely Eyes,Nick Cave & The Bad Seeds,"Nick Cave, Warren Ellis",10:29pm,2016-05-20
Jackpot (Single),Jackpot,Jocelyn Alice,"Hello Moth, Jocelyn Alice",10:33pm,2016-05-20
Ad Infinitum,Farmers Road,Telekinesis,Telekinesis,10:38pm,2016-05-20
Limoilou,Technicolor,Safia Nolin,Safia Nolin,10:41pm,2016-05-20
Above Club,Take Your Picture With Me While You Still Can,We Are The City,"Andrew Huculiak, Cayne Mckenzie, David Menzel",10:44pm,2016-05-20
Falsework,We're No Good,Young Galaxy,"Dan Lissvik, Stephen Ramsay, Catherine Mccandless",10:48pm,2016-05-20
Chambers,Myth Me,"Gonzales, Kaiser Quartett",Gonzales,10:52pm,2016-05-20
Between Heaviness & Here,Twice,Rich Brown,Little Dragon,10:55pm,2016-05-20
We Made Up A Dream (Single),We Made Up A Dream,Wildhart,"Ylva Holmdahl, Josefin Runsteen, Kiwi Berg",11:03pm,2016-05-20
The Ridge,The Glow,Sarah Neufeld,Sarah Neufeld,11:07pm,2016-05-20
Grasscut: Unearth,Lights,Grasscut,Andrew (Chant/ Comp) Phillips,11:12pm,2016-05-20
Lanterns,Plan The Escape,Son Lux,Son Lux,11:16pm,2016-05-20
Beast To Bone,Jealous Guy,The Sands,John Lennon,11:22pm,2016-05-20
Tales Of A Grass Widow,Tears For Animals,Cocorosie,"Bianca Casady, Sierra Casady",11:28pm,2016-05-20
Lonely Ghost,Silica,Artisan Loyalist,Artisan Loyalist,11:33pm,2016-05-20
Oracle (Single),Oracle,Haelos,"Arthur Delaney, Lotti Bernardout, Dom Goldsmith",11:39pm,2016-05-20
Companion,Oxidized,Alicia Hansen,"Ben Brown, Alicia Hansen",11:45pm,2016-05-20
Same (Single),Same,Julianna Barwick,Julianna Barwick,11:49pm,2016-05-20
The Night (Single),The Night,Will Driving West,Daniel Ratte,11:54pm,2016-05-20
Unhappy Ending (Single),Unhappy Ending,Maple Mountain Sunburst Triolian Orchestra,Andy Mcneill,11:58pm,2016-05-20
Breakthrough,Upside Swagger,Eli Bennett,Eli Bennett,10:01pm,2016-05-21
Stan Getz And The Oscar Peterson Trio,Pennies From Heaven,"Stan Getz, Oscar Peterson","Arthur Johnston, Johnny Burke",10:06pm,2016-05-21
You Won't Forget Me,Come Dance With Me,Shirley Horn,Steve Williams,10:12pm,2016-05-21
Kevin Dean Quintet: Over At Ola's,Blues In Beef Fat,Kevin Dean,Kevin Dean,10:15pm,2016-05-21
Boss Tenors In Orbit!/Boss Tenors,Walkin',"Gene Ammons, Sonny Stitt",Richard Carpenter,10:23pm,2016-05-21
Deja Jazz,Line For Lyons,"Michel Donato, Pierre Leduc",Richard Provencal,10:28pm,2016-05-21
Haven't We Met?,You Make Me Feel So Young,Claire Barlow Emilie,Ross Macintyre,10:32pm,2016-05-21
Soulville,Makin' Whoopee,Ben Webster,"Walter Donaldson, Gus Kahn",10:36pm,2016-05-21
Frank Sinatra: In The Wee Small,Dancing On The Ceiling,Frank Sinatra,,10:41pm,2016-05-21
Dave Young Quintet: Aspects Of Oscar,Smile,Dave Young,"Charlie Chaplin, John Turner, Geoffrey Parsons",10:44pm,2016-05-21
Gratitude,But Beautiful,Brandi Disterheft,"Johnny Burke, Jimmy Van Heusen",10:49pm,2016-05-21
Steve Kaldestad: New York Afternoon,Beatriz,Steve Kaldestad,"Edu Lobo, Chico Buarque De Hollanda",10:55pm,2016-05-21
Luxuries (Single),Luxuries,Folded Like Fabric,"Connor Sims, Jay Mooncie",11:04pm,2016-05-21
Drive (Single),Drive,Britta Phillips,Ric Ocasek,11:07pm,2016-05-21
Come Out Wherever You Are (Single),Come Out Wherever You Are,Paul Cook & The Chronicles,Paul Cook,11:12pm,2016-05-21
Smilewound,The Colorful Stabwound,Mum,"Orvar Poreyjarson Smarason, Gyda Valtysdottir, Sigurlaug Gisladottir, Hildur Gudnadottir, Gunnar Tynes, Samuli Kosminen",11:15pm,2016-05-21
Aventine,Dorian,Agnes Obel,Agnes Obel,11:20pm,2016-05-21
The Nines,Day Of Delights,Our Founders,Mike Olsen,11:25pm,2016-05-21
After The Glow (Single),After The Glow,Jesse Mac Cormack,Jesse Mac Cormack,11:29pm,2016-05-21
